list_name,name,label::English,label::Somali,district,country,region
uuid,NA-3802-B10-001,Yaferi,Yaferi,xudur,somalia,bakool
uuid,NA-3802-B10-002,Moqor,Moqor,xudur,somalia,bakool
uuid,NA-3802-B10-003,Abal,Abal,xudur,somalia,bakool
uuid,NA-3802-B11-001,Eel Hej,Eel Hej,xudur,somalia,bakool
uuid,NA-3802-B11-002,Totiyaas,Totiyaas,xudur,somalia,bakool
uuid,NA-3802-B12-001,Ceel Heri,Ceel Heri,xudur,somalia,bakool
uuid,NA-3802-B12-002,Sarmaan,Sarmaan,xudur,somalia,bakool
uuid,NA-3802-B13-001,Buulo Iri,Buulo Iri,xudur,somalia,bakool
uuid,NA-3802-B13-002,Qaramey,Qaramey,xudur,somalia,bakool
uuid,NA-3802-B13-003,Galool,Galool,xudur,somalia,bakool
uuid,NA-3802-B13-004,Bal Maade,Bal Maade,xudur,somalia,bakool
uuid,NA-3802-B14-001,Jilibow Yerow,Jilibow Yerow,xudur,somalia,bakool
uuid,NA-3802-B14-002,Jilibow Wiinow,Jilibow Wiinow,xudur,somalia,bakool
uuid,NA-3802-B16-001,Mubarak,Mubarak,xudur,somalia,bakool
uuid,NA-3802-B16-002,Doygab,Doygab,xudur,somalia,bakool
uuid,NA-3802-B17-001,Barkadle,Barkadle,xudur,somalia,bakool
uuid,NA-3802-B18-001,Buur Gaboy,Buur Gaboy,xudur,somalia,bakool
uuid,NA-3802-B18-002,Barsi,Barsi,xudur,somalia,bakool
uuid,NA-3802-B18-003,Kayaane,Kayaane,tayeeglow,somalia,bakool
uuid,NA-3802-B18-004,Rer Aw Hussenow,Rer Aw Hussenow,xudur,somalia,bakool
uuid,NA-3802-B19-001,Dareersin 2,Dareersin 2,tayeeglow,somalia,bakool
uuid,NA-3802-B20-001,Kajin,Kajin,tayeeglow,somalia,bakool
uuid,NA-3802-B20-002,Hawal Kare,Hawal Kare,tayeeglow,somalia,bakool
uuid,NA-3802-B21-001,Hawaal Kabay,Hawaal Kabay,tayeeglow,somalia,bakool
uuid,NA-3802-B21-002,Abaq Turuuruq,Abaq Turuuruq,tayeeglow,somalia,bakool
uuid,NA-3802-B21-003,Bioyooley,Bioyooley,tayeeglow,somalia,bakool
uuid,NA-3802-B27-001,Sankor,Sankor,tayeeglow,somalia,bakool
uuid,NA-3802-B27-002,Mada,Mada,tayeeglow,somalia,bakool
uuid,NA-3802-C02-001,Kulunjerer,Kulunjerer,waajid,somalia,bakool
uuid,NA-3802-C06-001,Gurabow,Gurabow,waajid,somalia,bakool
uuid,NA-3802-C07-001,Faarjarley Wiila,Faarjarley Wiila,xudur,somalia,bakool
uuid,NA-3802-C08-001,Doondardiir,Doondardiir,xudur,somalia,bakool
uuid,NA-3802-C10-001,War Aw Baarow,War Aw Baarow,baidoa,somalia,bay
uuid,NA-3802-C11-001,Unramade,Unramade,xudur,somalia,bakool
uuid,NA-3802-C11-002,Faratiyow,Faratiyow,baidoa,somalia,bay
uuid,NA-3802-C11-003,Durow,Durow,baidoa,somalia,bay
uuid,NA-3802-C11-004,Dhujiilow,Dhujiilow,baidoa,somalia,bay
uuid,NA-3802-C11-005,Shabaka,Shabaka,xudur,somalia,bakool
uuid,NA-3802-C11-006,Uunka Maadi,Uunka Maadi,xudur,somalia,bakool
uuid,NA-3802-C11-007,Eel Gethet,Eel Gethet,xudur,somalia,bakool
uuid,NA-3802-C11-008,Bonta Furoy,Bonta Furoy,baidoa,somalia,bay
uuid,NA-3802-C12-001,Buulo Jadid,Buulo Jadid,xudur,somalia,bakool
uuid,NA-3802-C12-002,Min Dhoobi,Min Dhoobi,xudur,somalia,bakool
uuid,NA-3802-C12-003,Asturow,Asturow,xudur,somalia,bakool
uuid,NA-3802-C18-001,Gunri,Gunri,tayeeglow,somalia,bakool
uuid,NA-3802-C19-001,Cashur,Cashur,tayeeglow,somalia,bakool
uuid,NA-3802-C19-002,Drersin,Drersin,tayeeglow,somalia,bakool
uuid,NA-3802-C19-003,Oorar,Oorar,tayeeglow,somalia,bakool
uuid,NA-3802-C19-004,Buulo Issaq,Buulo Issaq,tayeeglow,somalia,bakool
uuid,NA-3802-C19-005,Dareersin 1,Dareersin 1,tayeeglow,somalia,bakool
uuid,NA-3802-C19-006,Hoobishe,Hoobishe,tayeeglow,somalia,bakool
uuid,NA-3802-C22-001,Jiumqaale,Jiumqaale,tayeeglow,somalia,bakool
uuid,NA-3802-C22-002,Durey,Durey,tayeeglow,somalia,bakool
uuid,NA-3802-C22-003,Jimaali,Jimaali,tayeeglow,somalia,bakool
uuid,NA-3802-C22-004,Hawaal Kule,Hawaal Kule,tayeeglow,somalia,bakool
uuid,NA-3802-C22-005,Ay Haaway,Ay Haaway,tayeeglow,somalia,bakool
uuid,NA-3802-D06-001,Seynilow,Seynilow,waajid,somalia,bakool
uuid,NA-3802-D11-001,Madooda,Madooda,baidoa,somalia,bay
uuid,NA-3802-D11-002,Fajiitoole,Fajiitoole,baidoa,somalia,bay
uuid,NA-3802-D19-001,Dudumale Yeroy,Dudumale Yeroy,tayeeglow,somalia,bakool
uuid,NA-3802-D19-002,Dudumale Wiin,Dudumale Wiin,tayeeglow,somalia,bakool
uuid,NA-3802-D20-001,Dholowlowka,Dholowlowka,tayeeglow,somalia,bakool
uuid,NA-3802-D20-002,Wariiraale,Wariiraale,tayeeglow,somalia,bakool
uuid,NA-3802-D20-003,Korar,Korar,tayeeglow,somalia,bakool
uuid,NA-3802-D20-004,Dhooblow,Dhooblow,tayeeglow,somalia,bakool
uuid,NA-3802-D21-001,Gaalay,Gaalay,tayeeglow,somalia,bakool
